Latitude,Longitude,pH,EC,CO3,HCO3,Cl,SO4,NO3,PO4,TH,Ca,Mg,Na,K,F,TDS,SiO2
22.0791667,69.57916667,7.6,880,0,268,113,48,15,0.06506720039,290,48,41,68,1.45,0.68,590,0
22.09083333,69.26888889,7.6,2550,0,342,468,309,14,0.06506720039,640,140,71,278,28.17,2.2,1709,0
21.9916667,69.24583333,7.3,2025,0,220,454,121,82,0.06506720039,480,116,46,240,5.67,2.2,1357,0
22.5666667,70.41666667,7.4,2110,0,488,369,86,63,0.06506720039,530,76,83,242,1.56,0.32,1414,0
22.2458333,68.95833333,7.4,2533,0,439,574,78,24,0.06506720039,655,80,111,264,29.52,0.48,1697,0
22.45,70.00138889,7.5,1950,0,207,560,20,4,0.06506720039,500,108,56,220,2.66,0.36,1307,0
22.53361111,70.31416667,7.8,1325,0,329,227,66,2,0.06506720039,280,20,56,175,0.13,1.7,888,0
22.6083333,70.2625,7.2,1120,0,305,206,13,10,0.06506720039,380,92,36,83,0.37,0.53,750,0
22.52138889,70.20361111,7.1,2565,0,232,702,48,56,0.06506720039,945,168,128,151,5.25,0.29,1719,0
22.4583333,70.07916667,7.4,940,0,354,92,48,3,0.06506720039,260,44,36,96,0.65,0.43,630,0
22.1708333,69.36666667,7.2,1555,0,354,248,81,58,0.06506720039,510,60,88,125,1.97,0.36,1042,0
22.2166667,70.38333333,7.1,625,0,183,78,47,4,0.06506720039,205,40,26,48,2.91,0.4,419,0
22.0125,69.397222,7.5,1880,0,378,340,89,65,0.06506720039,430,52,73,235,1.44,3.3,1260,0
22.01666667,69.39166667,7.4,1491,0,244,291,68,83,0.06506720039,550,44,107,89,0.75,0.3,999,0
21.978239,69.59974,7.3,1250,0,171,269,60,46,0.06506720039,225,76,9,183,0.42,0.4,838,0
22.2013889,69.58333333,7.3,700,0,281,43,28,33,0.06506720039,245,62,22,47,0.12,0.49,469,0
22.1916667,69.96111111,7.5,1170,0,220,220,64,35,0.06506720039,300,76,27,128,1.56,0.38,784,0
21.85416667,69.81083333,7.2,925,0,244,142,38,33,0.06506720039,230,60,19,105,3.02,0.88,620,0
22.3666667,68.98333333,7.1,6211,0,610,1482,312,252,0.06506720039,1660,344,195,660,9.71,0.86,4161,0
22.0375,69.875,7.5,3010,0,305,780,102,74,0.06506720039,1300,334,113,90,1.21,0.23,2017,0
21.9083333,69.82916667,7.2,1055,0,342,99,55,67,0.06506720039,425,70,61,46,0.12,0.28,707,0
22.38305556,69.86666667,7.1,1920,0,500,234,160,65,0.06506720039,630,44,126,152,0.27,0.24,1286,0
22.3166667,70.26388889,7.5,1830,0,293,362,93,83,0.06506720039,220,48,24,321,0.64,0.56,1226,0
22.1916667,70.53333333,7.4,1160,0,305,135,59,100,0.06506720039,410,72,56,78,0.17,0.38,777,0
22.2472222,69.25833333,7.5,1020,0,207,170,93,2,0.06506720039,280,60,32,101,6.75,0.9,683,0
21.9297222,69.49194444,7.5,3644,0,427,922,113,44,0.06506720039,1300,140,231,232,0.85,0.18,2441,0
22.375,69.10416667,7.4,1995,0,549,291,107,27,0.06506720039,450,76,63,231,33.34,4.6,1337,0
22.0333333,70.125,7.2,1555,0,415,177,91,112,0.06506720039,500,124,46,127,0.31,0.32,1042,0
22.10444444,70.16388889,7.7,1300,0,311,184,79,68,0.06506720039,390,68,54,117,0.64,0.84,871,0
22.06666667,70.38694444,7.6,750,0,256,67,50,24,0.06506720039,220,52,22,73,2.32,0.63,503,0
22.23333333,70.11666667,7.3,1957,0,256,355,113,175,0.06506720039,580,164,41,177,0.23,0.36,1311,0
22.2083333,69.5,7.4,1250,0,256,220,61,50,0.06506720039,350,100,24,123,2.82,0.35,838,0
22.15,69.6,7.5,1070,0,354,113,50,36,0.06506720039,370,96,32,73,1.03,0.45,717,0
21.41027778,70.51805556,8.6,1920,0,159,504,65,64,0.06506720039,680,100,105,125,1.41,0.57,1286,0
21.08083333,70.17694444,6.9,5558,0,610,1425,210,60,0.06506720039,900,72,175,830,39.13,0.11,3724,0
21.2208333,70.05555556,7.4,340,0,98,46,18,5,0.06506720039,130,24,17,17,1.43,0.19,228,0
21.4875,70.08333333,8,1200,0,476,113,40,12,0.06506720039,110,20,15,226,0.29,3,804,0
21.4388889,70.6,7.5,1560,0,311,234,110,79,0.06506720039,310,80,27,195,6.24,0.47,1045,0
21.0958333,70.21666667,7,2200,0,427,418,108,54,0.06506720039,640,100,95,210,1.14,0.6,1474,0
21.03222222,70.22472222,7,4890,0,702,1206,92,77,0.06506720039,1470,220,224,443,1.69,0.13,3276,0
21.1472222,70.275,7.8,780,0,232,99,50,6,0.06506720039,300,44,46,40,1.4,0.29,523,0
21.1833333,70.15416667,7.8,1150,0,366,121,49,57,0.06506720039,370,56,56,90,1.69,1.5,771,0
21.5166667,70.45833333,7,1207,0,329,156,60,48,0.06506720039,265,50,34,149,1.98,0.28,809,0
21.1666667,70.26666667,7.5,820,0,207,135,44,5,0.06506720039,300,60,36,48,1.6,0.37,549,0
21.24944444,70.085,7.5,2150,0,403,383,169,30,0.06506720039,290,80,22,356,2.46,1.51,1441,0
